Title,Genre(s),Developer(s),Publisher(s),Release date
Double Dragon Neon,Action & Adventure,WayForward Technologies,Majesco Entertainment,12-Sep-12
Double Fine Happy Action Theater,Kinect,Double Fine Productions,Microsoft Studios,1-Feb-12
Dragon Age II,Action RPG,BioWare,Electronic Arts,8-Mar-11
Dragon Age: Inquisition,Action RPG,BioWare,Electronic Arts,18-Nov-14
Dragon Age: Origins,RPG,BioWare,Electronic Arts,3-Nov-09
Dragon Age: Origins – Awakening,RPG,BioWare,Electronic Arts,16-Mar-10
Dragon Ball XenoVerse,Fighting-Action,Dimps,Namco Bandai Games,24-Feb-15
Dragon Ball Z for Kinect,Fighting,Spike,Namco Bandai Games,9-Oct-12
Dragon Ball Z: Battle of Z,Fighting,Artdink,Namco Bandai Games,28-Jan-14
Dragon Ball Z: Budokai HD Collection remaster of Budokai & Budokai 3,Fighting,Spike,Namco Bandai Games,2-Nov-10
Dragon Ball Z: Burst Limit,Fighting,Dimps,Namco Bandai Games,10-Jun-08
Dragon Ball Z: Ultimate Tenkaichi,Fighting,Spike,Namco Bandai Games,25-Oct-11
Dragon Ball: Raging Blast,Fighting,Spike,Namco Bandai Games,10-Nov-09
Dragon Ball: Raging Blast 2,Fighting,Spike,Namco Bandai Games,2-Nov-10
Dragon's Dogma,"Action RPG, Open World",Capcom,Capcom,25-May-12
Dragon's Dogma: Dark Arisen,"Action RPG, Open World",Capcom,Capcom,23-Apr-13
Dragon's Lair,Classics,Digital Leisure,Microsoft Studios,18-May-12
Dream Chronicles,Puzzle & Trivia,KatGames,PlayFirst,20-Oct-10
Dream Club,Sim,Tamsoft,D3 Publisher,Unreleased
Dream Club Zero,Sim,Tamsoft,D3 Publisher,Unreleased
Dreamcast Collection,Compilation,Sega,Sega,22-Feb-11
DreamWorks Super Star Kartz,Racing,High Impact Games,Activision,15-Nov-11
Driver: San Francisco,"Racing Mission, Open World",Ubisoft Reflections,Ubisoft,6-Sep-11
Droplitz,Puzzle & Trivia,Blitz Arcade,Atlus,24-Jun-09
Duck Dynasty,,Activision,Activision,14-Oct-14
DuckTales: Remastered,Platformer,WayForward Technologies,Capcom,11-Sep-13
DuckTales: Remastered,Platformer,WayForward Technologies,Capcom,12-Nov-13
Duke Nukem 3D,Shooter,3D Realms,Microsoft Studios,24-Sep-08
Duke Nukem Forever,First-person Shooter,Gearbox Software,2K Games,14-Jun-11
Duke Nukem: Manhattan Project,Action & Adventure,3D Realms,Microsoft Studios,23-Jun-10
Dunamis 15,"Adventure, Visual Novel",5pb.,5pb.,Unreleased
Dungeon Defenders,Strategy & ARPG,Trendy Entertainment,D3 Publisher,19-Oct-11
Dungeon Fighter Live: Fall of Hendon Myre,Role Playing,Nexon Co. Ltd.,Microsoft Studios,13-Jul-12
Dungeon Siege III,Action RPG,Obsidian Entertainment,Square Enix,21-Jun-11
Dungeons & Dragons: Chronicles of Mystara (Shadow Over Mystara and Tower of Doom),Action & Adventure,Iron Galaxy,Capcom,19-Jun-13
Dungeons & Dragons: Daggerdale,Role Playing,Bedlam Games,Atari,25-May-11
Dust: An Elysian Tail,Platformer,Humble Hearts,Microsoft Studios,15-Aug-12
Dustforce,Platformer,Hitbox Team,Capcom,25-Apr-14
Dynasty Warriors 5 Empires,"Hack & Slash, Tactical RPG",Omega Force,Koei,28-Mar-06
Dynasty Warriors 6,"Hack & Slash, Tactical RPG",Omega Force,Koei,19-Feb-08
Dynasty Warriors 6 Empires,"Hack & Slash, Tactical RPG",Omega Force,Koei,16-Jun-09
Dynasty Warriors 7,"Hack & Slash, Tactical RPG",Omega Force,Koei,25-Mar-11
Dynasty Warriors 8,"Hack & Slash, Tactical RPG",Omega Force,Koei,16-Jul-13
Dynasty Warriors: Gundam 2[note 14],"Hack & Slash, Tactical RPG",Omega Force,"Namco Bandai, KoeiEU",21-Apr-09
Dynasty Warriors: Gundam 3[note 15],"Hack & Slash, Tactical RPG","Koei, Omega Force","Namco Bandai, KoeiEU",28-Jun-11
Dynasty Warriors: Gundam[note 16],"Hack & Slash, Tactical RPG","Koei, Omega Force","Namco Bandai, KoeiEU",28-Aug-07
Dynasty Warriors: Strikeforce[note 17],"Hack & Slash, Tactical RPG",Koei,Koei,16-Feb-10
EA Sports Active 2,,EA Vancouver,EA Sports,16-Nov-10
EA Sports Fantasy Football:,Sports & Recreation,EA Tiburon,EA Sports,16-Jul-08
EA Sports Fantasy Football:,Sports & Recreation,EA Tiburon,EA Sports,3-Sep-08
EA Sports MMA,Sports,EA Tiburon,EA Sports,19-Oct-10
Earth Defense Force 2017,Third-person shooter,Sandlot,D3 Publisher,20-Mar-07
Earth Defense Force 2025,Third-person shooter,Sandlot,D3 Publisher,18-Feb-14
Earth Defense Force: Insect Armageddon,Third-person Shooter,Vicious Cycle Software,D3 Publisher,5-Jul-11
Earthworm Jim HD,Classics,Gameloft,Microsoft Studios,9-Jun-10
Eat Lead: The Return of Matt Hazard,Third-person Shooter,Vicious Cycle Software,D3 Publisher,26-Feb-09
Ecco the Dolphin,Classics,Novotrade International,Sega,15-Aug-07
Eets: Chowdown,Puzzle & Trivia,Klei Entertainment,Microsoft Studios,25-Apr-07
El Chavo Kart,Racing,Efecto Studios (along with Slang),Televisa Home Entertainment,21-Feb-14
El Shaddai: Ascension of the Metatron,Action,Ignition Tokyo,UTV Ignition Entertainment,16-Aug-11
Elements of Destruction,Strategy & Simulation,Frozen Codebase,THQ,18-Jun-08
Enchanted Arms[note 18],RPG,From Software,Ubisoft,29-Aug-06
Encleverment Experiment,Family & Educational,Blitz Arcade,Microsoft Studios,11-Nov-09
Enemy Front,First-person Shooter,City Interactive,City Interactive,10-Jun-14
Enemy Territory: Quake Wars,First-person Shooter,"id Software, Nerve Software",Activision,27-May-08
Enslaved: Odyssey to the West,"Action-adventure, Platform",Ninja Theory,Namco Bandai Games,5-Oct-10
Epic Mickey 2: The Power of Two,"Action-adventure, Platform",Blitz Games,Disney Interactive Studios,18-Nov-12
Episode 1,,,,
Episode 1: Iron From Ice,,,,
Eragon,"Hack & Slash, Action-adventure",Stormfront Studios,Vivendi Games,14-Nov-06
Escape Dead Island,"Action, Survival Horror, Stealth",Fatshark,Deep Silver,18-Nov-14
"Escapists, TheThe Escapists",Strategy & Simulation,Mouldy Toof Studios/Team17,Team17,18-Dec-15
Eschatos,,Qute,Qute,Unreleased
Espgaluda II,Bullet Hell,Cave,Cave,Unreleased
Eternal Sonata,RPG,Tri-Crescendo,Namco Bandai Games,17-Sep-07
Ever17,"Visual Novel, Sim",5pb.,5pb.,Unreleased
Every Extend Extra Extreme (E4),Action & Adventure,Q Entertainment,Microsoft Studios,17-Oct-07
Everyone Sing,"Party Game, Singing Game",O-Games,O-Games,Unreleased
Exit,Puzzle & Trivia,Taito,Taito,24-Oct-07
Exit 2,Puzzle & Trivia,Taito,Taito,25-Feb-09
"Expendables 2 Video Game, TheThe Expendables 2 Video Game",Shooter,ZootFly,Ubisoft,17-Aug-12
F.E.A.R.,"First-person shooter, Survival horror",Day 1 Studios,Vivendi Games,31-Oct-06
F.E.A.R. 2: Project Origin,"First-person shooter, Survival horror",Monolith Productions,Warner Bros. Interactive Entertainment,10-Feb-09
F.E.A.R. 3,"First-person shooter, Survival horror",Day 1 Studios,Warner Bros. Interactive Entertainment,21-Jun-11
F.E.A.R. Files[note 19],"First-person shooter, Survival horror",TimeGate Studios,Sierra Entertainment,6-Nov-07
F1 2010,Racing,Codemasters Birmingham,Codemasters,22-Sep-10
F1 2011,Racing,Codemasters Birmingham,Codemasters,20-Sep-11
F1 2012,Racing,Codemasters Birmingham,Codemasters,18-Sep-12
F1 2013,Racing,Codemasters Birmingham,Codemasters,8-Oct-13
F1 2014,Racing,Codemasters Birmingham,Codemasters,21-Oct-14
F1 Race Stars,Racing,Codemasters Birmingham,Codemasters,12-Nov-12
Fable Anniversary,"Action RPG, Open World",Lionhead Studios,Microsoft Game Studios,4-Feb-14
Fable Heroes,Action & Adventure,Lionhead Studios,Microsoft Studios,2-May-12
Fable II,"Action RPG, Open World",Lionhead Studios,Microsoft Game Studios,21-Oct-08
Fable II Pub Games,Card & Board,Carbonated Games/Lionhead Studios,Microsoft Studios,13-Aug-08
Fable III,"Action RPG, Open World",Lionhead Studios,Microsoft Game Studios,26-Oct-10
Fable: The Journey,,Lionhead Studios,Microsoft Studios,9-Oct-12
FaceBreaker,Sports,EA Canada,EA Sports Freestyle,3-Sep-08
Faery: Legends of Avalon,Role Playing,Spiders,Focus Home Interactive,10-Nov-10
Fairytale Fights,"Hack & Slash, Action-adventure",Playlogic,Playlogic,27-Oct-09
Falling Skies: The Game,Strategy,Torus Games,Little Orbit,23-Sep-14
Fallout 3,"Action RPG, Open World",Bethesda Game Studios,Bethesda Softworks,28-Oct-08
Fallout 3 Game Add-On Pack - Broken Steel and Point Lookout,"Action RPG, Open World",Bethesda Game Studios,Bethesda Softworks,27-Aug-09
Fallout 3 Game Add-On Pack - The Pitt and Operation Anchorage,"Action RPG, Open World",Bethesda Game Studios,Bethesda Softworks,16-Jul-09
Fallout: New Vegas,Action RPG,Obsidian Entertainment,Bethesda Softworks,19-Oct-10
Family Feud 2012,Trivia,Pipeworks Software,THQ,18-Oct-12
Family Guy: Back to the Multiverse,Action-adventure,Heavy Iron Studios,Activision,20-Nov-12
"Fancy Pants Adventures, TheThe Fancy Pants Adventures",Platformer,Borne Games/,Electronic Arts,20-Apr-11
Fantasia: Music Evolved,,Harmonix Music Systems,Microsoft Studios,21-Oct-14
Fantastic Four: Rise of the Silver Surfer,"Action-adventure, Third-person",Visual Concepts,2K Games,15-Jun-07
Fantastic Pets,,Blitz Games Studios,THQ,12-Apr-11
Far Cry 2,"First-person Shooter, Open World",Ubisoft Montreal,Ubisoft,21-Oct-08
Far Cry 3,"First-person Shooter, Open world",Ubisoft Montreal,Ubisoft,4-Dec-12
Far Cry 3: Blood Dragon,Shooter,Ubisoft Montreal,Ubisoft,1-May-13
Far Cry 4,"First-person Shooter, Open world",Ubisoft Montreal,Ubisoft,18-Nov-14
Far Cry Classic,Shooter,Crytek,Ubisoft,11-Feb-14
Far Cry Compilation,"First-person Shooter, Open world",Ubisoft Montreal,Ubisoft,2-Nov-14
Far Cry Instincts Predator,First-person Shooter,Ubisoft Montreal,Ubisoft,28-Mar-06
Farming Simulator,Simulation,Giants Software,Focus Home Interactive,6-Sep-13
Farming Simulator 15,Simulation,Giants Software,Focus Home Interactive,19-May-15
Fast & Furious: Showdown,Racing,Firebrand Games,Activision,21-May-13
Fatal Fury Special,Classics,SNK,SNK,5-Sep-07
Fatal Inertia,Racing,Stormfront Studios,Vivendi Games,11-Sep-07
Feeding Frenzy,Action & Adventure,PopCap Games,Microsoft Studios,15-Mar-06
Feeding Frenzy 2: Shipwreck Showdown,Action & Adventure,PopCap Games,PopCap Games,17-Sep-08
Fez,Action & Adventure,Polytron Corporation,Microsoft Studios,13-Apr-12
FIFA 06: Road to FIFA World Cup,Sports,EA Canada,EA Sports,"November 22, 2005[1]"
FIFA 07,Sports,EA Canada,EA Sports,31-Oct-06
FIFA 08,Sports,EA Canada,EA Sports,9-Oct-07
FIFA 09,Sports,EA Canada,EA Sports,14-Oct-08
FIFA 10,Sports,EA Canada,EA Sports,20-Oct-09
FIFA 11,Sports,EA Canada,EA Sports,28-Sep-10
FIFA 12,Sports,EA Canada,EA Sports,27-Sep-11
FIFA 13,Sports,EA Canada,EA Sports,25-Sep-12
FIFA 14,Sports,EA Canada,EA Sports,23-Sep-13
FIFA 15,Sports,EA Canada,EA Sports,23-Sep-14
FIFA 16,Sports,EA Canada,EA Sports,22-Sep-15
FIFA 17,Sports,EA Canada,EA Sports,27-Sep-16
FIFA 18 Legacy Edition,Sports,EA Canada,EA Sports,29-Sep-17
FIFA 19 Legacy Edition,Sports,EA Canada,EA Sports,28-Sep-18
FIFA Street,Sports,EA Canada,EA Sports,13-Mar-12
FIFA Street 3,Sports,EA Canada,EA Sports BIG,18-Feb-08
Fight Night Champion,Sports,EA Canada,EA Sports,1-Mar-11
Fight Night Round 3,Sports,EA Chicago,EA Sports,20-Feb-06
Fight Night Round 4,Sports,EA Canada,EA Sports,30-Jun-09
Fighters Uncaged,,AMA Studios,Ubisoft,4-Nov-10
Fighting Vipers,Fighting,Sega,Sega,28-Nov-12
Final Exam,Action & Adventure,Mighty Rocket Studio,Focus Home Interactive,8-Nov-13
Final Fantasy XI: Seekers of Adoulin,MMORPG,Square Enix,Square Enix,26-Mar-13
Final Fantasy XI: Vana'diel Collection 2008,MMORPG,Square Enix,Square Enix,20-Nov-07
Final Fantasy XI: Wings of the Goddess,MMORPG,Square Enix,Square Enix,20-Nov-07
Final Fantasy XI[note 20],MMORPG,Square Enix,Square Enix,16-Apr-06
Final Fantasy XIII,RPG,Square Enix,Square Enix,9-Mar-10
Final Fantasy XIII-2,RPG,Square Enix,Square Enix,31-Jan-12
Final Fight: Double Impact,Classics,Proper Games,Capcom,14-Apr-10
Fire Pro Wrestling,Fighting,Spike,Microsoft Studios,21-Sep-12
Fireburst,Racing & Flying,IndiePub,Bigben Interactive,14-Jun-13
Fist of the North Star: Ken's Rage 2[note 21],Beat 'em Up,Koei,Tecmo Koei,5-Feb-13
Fist of the North Star: Ken's Rage[note 22],Beat 'em Up,Omega Force,Koei,2-Nov-10
Flashback,Platformer,VectorCell,Ubisoft,21-Aug-13
FlatOut: Ultimate Carnage,"Racing, Vehicular Combat",Bugbear Entertainment,Empire Interactive,2-Oct-07
Flock!,Action & Adventure,Proper Games,Capcom,8-Apr-09
Football Genius: The Ultimate Quiz,Sports & Recreation,RTL Sports,I-Imagine Interactive,30-Sep-09
Football Manager 2006,Sports Management,Sports Interactive,Sega Europe,Unreleased
Football Manager 2007,Sports Management,Sports Interactive,Sega Europe,Unreleased
Football Manager 2008,Sports Management,Sports Interactive,Sega Europe,Unreleased
Forza Horizon,"Racing, Open World","Playground Games, Turn 10 Studios",Microsoft Studios,23-Oct-12
Forza Horizon 2,"Racing, Open World","Sumo Digital, Turn 10 Studios",Microsoft Studios,30-Sep-14
Forza Motorsport 2,Racing,Turn 10 Studios,Microsoft Game Studios,29-May-07
Forza Motorsport 3,Racing,Turn 10 Studios,Microsoft Game Studios,27-Oct-09
Forza Motorsport 4,Racing,Turn 10 Studios,Microsoft Studios,11-Oct-11
Foul Play,Action & Adventure,Mediatonic,Mastertronic Group,18-Sep-13
Fracture,Third-person Shooter,Day 1 Studios,LucasArts,7-Oct-08
Freefall Racers,Kinect,Smoking Gun Interactive,Deep Silver,6-Sep-13
Fret Nice,Platformer,Pieces Interactive,Koei Tecmo,24-Feb-10
Frogger,Classics,Konami/Digital Eclipse,Konami,12-Jul-06
Frogger 2,Action & Adventure,"Voltex, Inc.",Konami,11-Jun-08
Frogger: Hyper Arcade Edition,Classics,Zombie Studios,Konami,6-Jul-12
From Dust,Strategy & Simulation,Ubisoft Montpellier,Ubisoft,27-Jul-11
Front Mission Evolved,"Tank & Mecha Sim, Third-person Shooter",Double Helix Games,Square Enix,28-Sep-10
Frontlines: Fuel of War,"First-person Shooter, Action",Kaos Studios,THQ,25-Feb-08
Frozen Free Fall: Snowball Fight,Puzzle & Trivia,SuperVillain Studios,Disney Interactive Studios,15-Sep-15
Fruit Ninja Kinect,Kinect,Halfbrick Studios,Microsoft Studios,10-Aug-11
Fuel,"Racing, Open World",Asobo Studios,Codemasters,2-Jun-09
Full Auto,Vehicular Combat,Pseudo Interactive,Sega,14-Feb-06
Full House Poker,Card & Board,Microsoft Studios/,Microsoft Studios,16-Mar-11
FunTown Mahjong,Card & Board,FunTown World,Microsoft Studios,28-Jan-09
Fuse,Action,Insomniac Games,Electronic Arts,28-May-13
Fusion: Genesis,Shooter,Starfire Studio,Microsoft Studios,9-Nov-11
Fuzion Frenzy 2,Party,Hudson Soft,Microsoft Game Studios,30-Jan-07
G.I. Joe: The Rise of Cobra,Action,Double Helix Games,Electronic Arts,4-Aug-09
Gal*Gun,Rail Shooter,Inti Creates,Alchemist,Unreleased
Galaga,Classics,Namco,Namco,26-Jul-06
Galaga Legions,Shooter,Namco,Namco,20-Aug-08
Galaga Legions DX,Shooter,Namco Bandai Games,Namco Bandai Games,29-Jun-11
Game of Thrones,Action RPG,Cyanide Studios,Atlus,15-May-12
Game of Thrones,Graphic adventure,Telltale Games,Telltale Games,3-Dec-14
Game of Thrones -,Action & Adventure,Telltale Games,Telltale Games,3-Dec-14
Game Party: In Motion,,FarSight Studios,Warner Bros. Interactive Entertainment,18-Nov-10
Garou: Mark of the Wolves,Classics,SNK,SNK,24-Jun-09
Gatling Gears,Action & Adventure,Vanguard Games,Electronic Arts,11-May-11
Gauntlet,Classics,Midway Games/,Midway Games,22-Nov-05
Gears of War,Third-person Shooter,Epic Games,Microsoft Game Studios,7-Nov-06
Gears of War 2,Third-person Shooter,Epic Games,Microsoft Game Studios,7-Nov-08
Gears of War 3,Third-person Shooter,Epic Games,Microsoft Studios,20-Sep-11
Gears of War: Judgment,Third-person Shooter,People Can Fly,Microsoft Studios,19-Mar-13
Gel: Set & Match,Puzzle & Trivia,Gastronaut Studios,Microsoft Studios,20-May-09
Generator Rex: Agent of Providence,Action-adventure,Activision,Activision,1-Nov-11
Geometry Wars 3: Dimensions,Action & Adventure,Lucid Games,Activision,25-Nov-14
Geometry Wars: Retro Evolved,Action & Adventure,Bizarre Creations,Microsoft Studios,22-Nov-05
Geometry Wars: Retro Evolved 2,Action & Adventure,Bizarre Creations,Microsoft Studios,30-Jul-08
Geon: Emotions,Action & Adventure,Strawdog Studios,Square Enix,19-Sep-07
Get Fit With Mel B,,Lightning Fish,"Deep Silver, Black Bean Games",Unreleased
G-Force,"Action, Platform",Eurocom,Disney Interactive Studios,21-Jul-09
Ghostbusters: Sanctum of Slime,Shooter,Behaviour Interactive,Atari,23-Mar-11
Ghostbusters: The Video Game,"Action-adventure, Third-person shooter","Terminal Reality, Threewave Software",Atari,16-Jun-09
Giana Sisters: Twisted Dreams,Action & Adventure,Black Forest Games,bitComposer Interactive,20-Mar-13
Gin Rummy,Card & Board,Studios Ch'in,Activision,3-Sep-08
Ginga Force,Shoot 'em up,Qute,Qute,Unreleased
Girl Fight,Fighting,Kung Fu Factory,Majesco Entertainment,25-Sep-13
Go! Go! Break Steady,Family & Educational,Little Boy Games,Microsoft Studios,23-Jul-08
Goat Simulator,Action & Adventure,Double Eleven,Double Eleven,17-Apr-15
Goat Simulator: Mmore Goatz Edition,Action & Adventure,Double Eleven,Double Eleven,26-Aug-15
God Mode,Shooter,Old School Games,Atlus,19-Apr-13
Golden Axe,Classics,Sega/Digital Eclipse,Sega,11-Jul-07
Golden Axe: Beast Rider,Hack & Slash,Secret Level,Sega,14-Oct-08
GoldenEye 007: Reloaded,First-person Shooter,Eurocom,Activision,1-Nov-11
Golf: Tee It Up!,Sports & Recreation,Housemarque,Activision,9-Jul-08
Goosebumps: The Game,Action & Adventure,WayForward Technologies,GameMill Entertainment,14-Oct-15
Gotham City Impostors,Shooter,Monolith Productions,Warner Bros. Interactive Entertainment,8-Feb-12
Grand Slam Tennis 2,Sports,EA Canada,EA Sports,12-Feb-12
Grand Theft Auto IV[note 23],"Action-adventure, Open World",Rockstar North,"Rockstar Games, CapcomJP",29-Apr-08
Grand Theft Auto V,"Action-adventure, Open World",Rockstar North,Rockstar Games,17-Sep-13
Grand Theft Auto: Episodes from Liberty City[note 24],"Action-adventure, Open World, Compilation",Rockstar North,Rockstar Games,29-Oct-09
Grand Theft Auto: San Andreas,"Action-adventure, Open World",Rockstar North,Rockstar Games,30-Jun-15
Gray Matter,Adventure,Wizarbox,dtp entertainment,Unreleased
Grease Dance,,Zoë Mode,505 Games,25-Oct-11
Greed Corp,Strategy & Simulation,W!Games,Valcon Games,24-Feb-10
Green Day: Rock Band,Music,Harmonix,MTV Games,8-Jun-10
Green Lantern: Rise of the Manhunters,Action,Double Helix Games,Warner Bros. Interactive Entertainment,7-Jun-11
Greg Hastings Paintball 2,First-person shooter,Majesco Entertainment,Activision,14-Sep-10
Grid 2,Racing,Codemasters Southam,Codemasters,28-May-13
Grid Autosport,Racing,Codemasters Southam,Codemasters,24-Jun-14
GripShift,Racing & Flying,Sidhe Interactive,Microsoft Studios,12-Dec-07
Guacamelee!:,Action & Adventure,DrinkBox Studios,Activision,2-Jul-14
Guardian Heroes,Action & Adventure,Treasure,Sega,12-Oct-11
Guardians of Middle-earth,Strategy & Simulation,Monolith Productions,Warner Bros. Interactive Entertainment,5-Dec-12
Guilty Gear 2: Overture,"Action-adventure, RTS",Arc System Works,505 Games,7-Oct-08
Guilty Gear XX ? Core Plus,Fighting,Arc System Works,Arc System Works,24-Oct-12
Guitar Hero 5,Music,Neversoft,Activision,1-Sep-09
Guitar Hero II,Music,Harmonix,"RedOctane, Activision",3-Apr-07
Guitar Hero III: Legends of Rock,Music,Neversoft,Activision,28-Oct-07
Guitar Hero Live,Music,FreeStyleGames,Activision,20-Oct-15
Guitar Hero Smash Hits,Music,Neversoft,Activision,16-Jun-09
Guitar Hero World Tour,Music,Neversoft,Activision,26-Oct-08
Guitar Hero: Aerosmith,Music,Neversoft,Activision,29-Jun-08
Guitar Hero: Metallica,Music,Neversoft,Activision,29-Mar-09
Guitar Hero: Van Halen,Music,Neversoft,Activision,22-Dec-09
Guitar Hero: Warriors of Rock,Music,Neversoft,Activision,28-Sep-10
Gun,Action-adventure,Neversoft,Activision,"November 22, 2005[1]"
Guncraft: Blocked & Loaded,Action & Adventure,Exato Game Studios,GameMill Entertainment,14-Jul-15
Gunstar Heroes,Classics,Treasure/,Sega,10-Jun-09
Guwange,Classics,CAVE,CAVE,10-Nov-10
Gyromancer,Puzzle & Trivia,PopCap Games/,Square Enix,18-Nov-09
Gyruss,Classics,Konami/Digital Eclipse,Konami,18-Apr-07
Hail to the Chimp,Party,Wideload Games,Gamecock Media Group,24-Jun-08
Half-Minute Hero: Super Mega Neo Climax,Role Playing,Marvelous Entertainment,Microsoft Studios,29-Jun-11
Halo 3,First-person Shooter,Bungie,Microsoft Studios,25-Sep-07
Halo 3: ODST,First-person Shooter,Bungie,Microsoft Studios,22-Sep-09
Halo 3: ODST Campaign Edition,First-person Shooter,Bungie,Microsoft Studios,9-Apr-13
Halo 4,First-person Shooter,343 Industries,Microsoft Studios,6-Nov-12
Halo Wars,RTS,Ensemble Studios,Microsoft Studios,3-Mar-09
Halo: Combat Evolved Anniversary,First-person Shooter,343 Industries,Microsoft Studios,15-Nov-11
Halo: Reach,First-person Shooter,Bungie,Microsoft Game Studios,14-Sep-10
Halo: Spartan Assault,Shooter,343 Industries/,Microsoft Studios,31-Jan-14
Hannah Montana: The Movie,"Adventure, Music",n-Space,Disney Interactive Studios,7-Apr-09
Happy Feet Two: The Video Game,"Adventure, Music",KMM Games,Warner Bros. Interactive Entertainment,8-Nov-11
Happy Tree Friends: False Alarm,Strategy & Simulation,Stainless Games,Sega,25-Jun-08
Happy Wars,Action & Adventure,Toylogic,Microsoft Studios,12-Oct-12
Hard Corps: Uprising,Action & Adventure,Arc System Works,Konami,16-Feb-11
Hardwood Backgammon,Card & Board,Silver Creek Entertainment,Microsoft Studios,8-Dec-05
Hardwood Hearts,Card & Board,Silver Creek Entertainment,Microsoft Studios,8-Dec-05
Hardwood Spades,Card & Board,Silver Creek Entertainment,Microsoft Studios,8-Dec-05
Harley Pasternak’s Hollywood Workout,,Heavy Iron Studios,Majesco Entertainment,18-Sep-12
Harms Way,Racing & Flying,Bongfish,Microsoft Studios,8-Dec-10
Harry Potter and the Deathly Hallows: Part I,Third-person Shooter,EA Bright Light,Electronic Arts,16-Nov-10
Harry Potter and the Deathly Hallows: Part II,Third-person Shooter,EA Bright Light,Electronic Arts,12-Jul-11
Harry Potter and the Half-Blood Prince,Third-person Shooter,EA Bright Light,Electronic Arts,30-Jun-09
Harry Potter and the Order of the Phoenix,Action-adventure,EA Bright Light,Electronic Arts,25-Jun-07
Harry Potter for Kinect,,Eurocom,Warner Bros. Interactive Entertainment,9-Oct-12
Hasbro Family Game Night,Board Game,EA Bright Light,Electronic Arts,10-Nov-09
Hasbro Family Game Night,Family & Educational,EA Bright Light,Electronic Arts,18-Mar-09
Hasbro Family Game Night 3,Board Game,EA Bright Light,Electronic Arts,25-Oct-10
Hasbro Family Game Night 4: The Game Show,Board Game,EA Salt Lake,Electronic Arts,1-Nov-11
Hasbro Family Game Night Fun Pack,Board Game,EA Bright Light,Electronic Arts,1-Nov-11
Haunt,Kinect,NanaOn-Sha,Microsoft Studios,18-Jan-12
Haunted House,Action & Adventure,ImaginEngine,Atari,28-Oct-10
Heavy Weapon,Action & Adventure,PopCap Games,Microsoft Studios,17-Jan-07
Hell Yeah! Wrath of the Dead Rabbit,Action & Adventure,Arkedo Studio,Sega,26-Sep-12
Hellboy: The Science of Evil,Action,Krome Studios,Konami,24-Jun-08
Heroes Over Europe,Combat Flight Simulator,Transmission Games,Ubisoft,15-Sep-09
Hexic 2,Puzzle & Trivia,Carbonated Games,Microsoft Studios,15-Aug-07
Hexic HD,Puzzle & Trivia,Carbonated Games,Microsoft Studios,22-Nov-05
Hexodius,Shooter,Brain Slap Studio,Bandai Namco Entertainment,16-Oct-13
High School Musical 3: Senior Year DANCE!,Music,Page 44 Studios,Disney Interactive Studios,28-Oct-08
History – Civil War: Secret Missions,"First-person Shooter, Stealth",Cauldron,Activision Value,4-Nov-08
Hitman HD Trilogy,Stealth,IO Interactive,Square Enix,29-Jan-13
Hitman: Absolution,Stealth,IO Interactive,Square Enix,20-Nov-12
Hitman: Blood Money,"Stealth, Third-person Shooter, First-person Shooter",IO Interactive,Eidos Interactive,30-May-06
Hole in the Wall,Kinect,Ludia,Microsoft Studios,24-Aug-11
Hole in the Wall,,Ludia,Ubisoft,24-Aug-11
Home Run Stars,Kinect,Smoking Gun Interactive,Microsoft Studios,26-Oct-12
Homefront,First-person Shooter,Kaos Studios,THQ,22-Feb-11
Hot Wheels World's Best Driver,"Racing, Vehicular Combat",Firebrand Games,Warner Brothers Interactive,17-Sep-13
Hot Wheels: Beat That!,"Racing, Vehicular Combat",Eutechnyx,Activision,25-Sep-07
Hour of Victory,First-person Shooter,nFusion,Midway Games,25-Jun-07
How to Survive,Action & Adventure,EKO Software,505 Games,23-Oct-13
How to Train Your Dragon,Action-adventure,Étranges Libellules,Activision,23-Mar-10
How to Train Your Dragon 2,Action-adventure,Little Orbit,Torus Games,13-Jun-14
Hulk Hogan's Main Event,,Panic Button,"Majesco Entertainment, 505 Games",11-Oct-11
Hunted: The Demon's Forge,Action,InXile Entertainment,Bethesda Softworks,31-May-11
Hunter's Trophy 2: America,Shooter,Kylotonn Entertainment,Bigben Interactive,17-May-13
Hunter's Trophy 2: Australia,Shooter,Kylotonn Entertainment,Bigben Interactive,29-May-13
Hybrid,Shooter,5th Cell,Microsoft Studios,8-Aug-12
Hydro Thunder Hurricane,Racing & Flying,Vector Unit,Microsoft Studios,28-Jul-10
Hydrophobia,Action & Adventure,Dark Energy Digital,Microsoft Studios,29-Sep-10
I Am Alive,Action & Adventure,Ubisoft Shanghai,Ubisoft,7-Mar-12
Ice Age: Continental Drift - Arctic Games,,Behaviour Interactive,Activision,10-Jul-12
Ice Age: Dawn of the Dinosaurs,Platform,Eurocom,Activision,30-Jun-09
Ikaruga,Shooter,Treasure,Microsoft Studios,9-Apr-08
IL-2 Sturmovik: Birds of Prey,Combat Flight Simulator,Gaijin Entertainment,1C Company,8-Sep-09
Ilomilo,Puzzle & Trivia,Southend Interactive,Microsoft Studios,5-Jan-11
Import Tuner Challenge[note 25],Racing,Genki,Ubisoft,26-Sep-06
Indianapolis 500 Evolution,Racing,Brain in a Jar,Destineer,30-Sep-09
