Title,Genre(s),Developer(s),Publisher(s),Release date
Call of Duty: Modern Warfare 2,First-person Shooter,Infinity Ward,Activision,10-Nov-09
Call of Duty: Modern Warfare 3,First-person Shooter,"Infinity Ward, Sledgehammer Games",Activision,8-Nov-11
Call of Duty: World at War,First-person Shooter,Treyarch,Activision,11-Nov-08
Call of Juarez,"First-person Shooter, Western",Techland,Ubisoft,5-Jun-07
Call of Juarez: Bound in Blood,"First-person Shooter, Western",Techland,Ubisoft,30-Jun-09
Call of Juarez: Gunslinger,Shooter,Techland,Ubisoft,22-May-13
Call of Juarez: The Cartel,"First-person Shooter, Western",Techland,Ubisoft,19-Jul-11
"Capcom Arcade Cabinet (Includes 1943, Avengers, and Black Tiger), (1942, 1943 Kai, Commando, Exed Exes, Ghosts 'n Goblins, Gun.Smoke, Hyper Dyne Side Arms, Legendary Wings, Pirate Ship Higemaru, Section Z, SonSon, The Speed Rumbler, Trojan, Vulgus as DLC)",Classics,"Capcom, M2",Capcom,20-Feb-13
Capcom Digital Collection[note 8],Compilation,Capcom,Capcom,27-Mar-12
Capsized,Action & Adventure,Alientrap,Namco Bandai Games,5-Jul-13
Captain America: Super Soldier,Action,Next Level Games,Sega,19-Jul-11
Carcassonne,Card & Board,Sierra Entertainment,Microsoft Studios,27-Jun-07
"Carnival Games: Monkey See, Monkey Do",,Cat Daddy Games,2K Play,5-Apr-11
Carrier Command: Gaea Mission,"Real-time strategy, Action",Bohemia Interactive,"Bohemia Interactive, Mastertronic, Rising Star Games",28-Sep-12
Cars,"Racing, Adventure",Rainbow Studios,THQ,23-Oct-06
Cars 2,"Racing, Adventure",Avalanche Software,Disney Interactive Studios,21-Jun-11
Cars 3: Driven to Win,"Racing, Adventure",Avalanche Software,Warner Bros. Interactive Entertainment,13-Jun-17
Cars Mater-National Championship,Racing,Rainbow Studios,THQ,29-Oct-07
Cars Race-O-Rama,Racing,Rainbow Studios,THQ,13-Oct-09
Cartoon Network: Punch Time Explosion,Fighting,Papaya Studio,"Crave Entertainment US, Deep Silver UK",15-Nov-11
Castle Crashers,Role Playing,The Behemoth,Microsoft Studios,27-Aug-08
Castle of Illusion Starring Mickey Mouse,Action & Adventure,Sega Studios Australia,Sega,4-Sep-13
CastleStorm,Strategy & Simulation,Zen Studios,Microsoft Studios,29-May-13
Castlevania:,Action & Adventure,MercurySteam,Konami,25-Oct-13
Castlevania: Harmony of Despair,Action & Adventure,Konami,Konami,4-Aug-10
Castlevania: Lords of Shadow,"Action-adventure, Platformer","MercurySteam, Kojima Productions",Konami,5-Oct-10
Castlevania: Lords of Shadow 2,"Action-adventure, Platformer","MercurySteam, Kojima Productions",Konami,25-Feb-14
Castlevania: Lords of Shadow Collection,"Action-adventure, Platformer","MercurySteam, Kojima Productions",Konami,5-Nov-13
Castlevania: Symphony of the Night,Classics,Konami/Digital Eclipse,Konami,21-Mar-07
Catan,Card & Board,Big Huge Games,Microsoft Studios,2-May-07
Catherine,"Puzzle Platform, Survival Horror, Adult",Atlus Persona Team,Atlus,26-Jul-11
"Cave, TheThe Cave",Action & Adventure,Double Fine Productions,Sega,23-Jan-13
CellFactor: Psychokinetic Wars,Shooter,Immersion Games/Timeline Interactive,Ubisoft,3-Jun-09
Centipede & Millipede,Classics,Stainless Games/Atari,Atari,2-May-07
Champion Jockey: G1 Jockey & Gallop Racer,,Koei,Tecmo Koei,Unreleased
Championship Manager 2007,"Sports, Sports Management",Beautiful Game,Eidos Interactive,Unreleased
Chaos;Head Love Chu Chu!,"Visual Novel, Romantic Comedy",5pb.,5pb.,Unreleased
Chaos;Head Noah,Visual Novel,5pb.,5pb.,Unreleased
Chaotic: Shadow Warriors,Action,Activision,Activision,10-Nov-09
Chapter I: A Knight to Remember,,,,
Charlie Murder,Fighting,Ska Studios,Microsoft Studios,14-Aug-13
Chessmaster Live,Card & Board,Ubisoft,Ubisoft,30-Jan-08
Child of Eden,"Rail Shooter, Music",Q Entertainment,Ubisoft,14-Jun-11
Child of Light,Role Playing,Ubisoft Montreal,Ubisoft,30-Apr-14
Chime,Puzzle & Trivia,Zoë Mode,Valcon Games,3-Feb-10
Chivalry: Medieval Warfare,Fighting,Torn Banner Studios,Activision,3-Dec-14
Choplifter HD,Action & Adventure,InXile Entertainment,Konami,11-Jan-12
Chromehounds,Tank & Mecha Sim,From Software,Sega,11-Jul-06
Civilization Revolution,Turn-based Strategy,Firaxis Games,2K Games,8-Jul-08
Clannad,Visual Novel,Key,Prototype,Unreleased
Clash of the Titans,Action-adventure,Namco Bandai Games,Namco Bandai Games,27-Jul-10
Clive Barker's Jericho,"First-person Shooter, Survival Horror",Codemasters,Codemasters,23-Oct-07
Cloning Clyde,Platformer,NinjaBee,Microsoft Studios,19-Jul-06
Cloudberry Kingdom,Platformer,Pwnee Studios,Ubisoft,31-Jul-13
Cloudy with a Chance of Meatballs,Platform,Ubisoft Shanghai,Ubisoft,18-Sep-09
Cobalt,Puzzle & Trivia,Oxeye Game Studio,Microsoft Studios,2-Feb-16
code 18,Visual novel,CyberFront,CyberFront,Unreleased
Coffeetime Crosswords,Puzzle & Trivia,"Voltex, Inc.",Konami,16-Jul-08
Colin McRae: DiRT,Racing,Codemasters,Codemasters,19-Jun-07
Colin McRae: DiRT 2,Racing,Codemasters,Codemasters,8-Sep-09
College Hoops 2K6,Sports,Visual Concepts,2K Sports,7-Mar-06
College Hoops 2K7,Sports,Visual Concepts,2K Sports,20-Nov-06
College Hoops 2K8,Sports,Visual Concepts,2K Sports,19-Nov-07
Comic Jumper:,Platformer,Twisted Pixel Games,Microsoft Studios,6-Oct-10
Comix Zone,Classics,Backbone Entertainment,Sega,10-Jun-09
Command & Conquer 3: Kane's Wrath,RTS,EA Los Angeles,Electronic Arts,23-Jun-08
Command & Conquer 3: Tiberium Wars,RTS,EA Los Angeles,Electronic Arts,8-May-07
Command & Conquer: Red Alert 3,RTS,EA Los Angeles,Electronic Arts,11-Nov-08
Command & Conquer: Red Alert 3 – Commander's Challenge,Strategy & Simulation,EA Los Angeles,Electronic Arts,16-Sep-09
Commanders: Attack of the Genos,Platformer,Southend Interactive,Activision,13-Feb-08
Conan,"Action-adventure, Platformer",Nihilistic Software,THQ,23-Oct-07
Condemned 2: Bloodshot,Survival Horror,Monolith Productions,Sega,11-Mar-08
Condemned: Criminal Origins[note 9],Survival horror,Monolith Productions,Sega,"November 22, 2005[1]"
Conflict: Denied Ops,Tactical Shooter,Pivotal Games,Eidos Interactive,12-Feb-08
Constant C,Platformer,International Games System,Mages,12-Mar-14
Contra,Classics,Konami/Digital Eclipse,Konami,8-Nov-06
Contrast,Action & Adventure,Compulsion Games,Focus Home Interactive,15-Nov-13
Costume Quest,Action & Adventure,Double Fine Productions,THQ,20-Oct-10
Costume Quest 2,Action & Adventure,Double Fine Productions,Midnight City,29-Oct-14
